,region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,wheelchair_access,electric_vehicle_charge,comes_furnished,laundry_options,parking_options,lat,long,state,target
112,144,1364,0,1240,2,2.0,1,1,1,0,0,0,5,0,32.2723,-80.9201,40,0
113,361,2200,6,1550,3,2.0,0,0,1,0,0,0,0,1,27.1733,-80.2698,9,0
114,117,1722,0,1067,2,2.0,1,1,0,0,0,0,5,1,39.4312,-77.4016,20,0
115,205,649,0,750,2,1.0,1,1,1,0,1,0,1,5,40.739,-82.8008,35,1
116,15,950,4,1100,2,2.0,0,0,0,0,0,0,2,5,33.6166,-84.2939,10,1
117,216,1199,0,982,2,1.0,1,0,0,0,0,0,5,5,44.9475,-93.1176,23,1
118,100,1350,11,1020,3,2.0,1,1,0,0,0,0,4,1,44.0477,-122.967,37,0
119,208,1700,6,1500,2,2.0,0,0,1,0,0,0,4,1,26.2524,-98.2154,43,0
120,387,1600,6,1100,2,1.5,0,0,1,0,0,0,5,5,42.2759,-72.4001,19,0
121,52,1161,0,1031,2,2.0,1,1,1,0,0,0,4,0,35.5998,-80.8792,27,1
122,64,1694,0,1203,2,2.0,1,1,1,0,0,0,5,0,38.9424,-104.711,5,0
123,74,889,0,600,1,1.0,1,1,1,0,0,0,1,5,39.6978,-84.1073,35,1
124,24,1950,6,1200,3,2.0,0,0,0,0,0,0,0,1,48.9513,-122.436,47,0
125,59,650,4,825,2,1.0,0,0,0,0,0,0,3,5,39.2105,-84.4709,35,1
126,154,1795,0,713,1,1.0,1,1,0,0,0,0,5,2,33.9428,-117.299,4,0
127,8,1100,2,1000,2,1.5,0,0,0,0,0,0,5,5,61.1858,-149.9,0,1
128,243,1595,6,1646,3,1.5,0,0,0,0,0,0,4,1,44.7556,-85.5793,22,0
129,21,1200,6,1900,3,2.0,0,1,0,0,0,0,5,2,30.4406,-90.4422,18,1
130,201,1125,0,1070,2,2.0,1,1,0,0,0,0,1,5,43.0874,-89.5045,48,1
131,311,2175,0,765,2,1.0,1,1,0,0,0,0,5,1,47.6055,-122.32,47,0
132,387,1600,0,1500,3,1.0,0,0,1,0,0,0,4,5,42.0652,-72.591,19,0
133,157,600,0,875,2,1.0,0,0,1,1,0,0,2,6,35.6559,-88.8416,42,1
134,287,1100,11,825,1,0.0,1,0,1,0,0,0,4,5,37.5999,-77.6222,45,1
135,270,1229,0,1000,1,1.0,1,0,1,0,0,0,1,5,40.4636,-79.9441,38,0
136,47,2534,0,1083,2,2.0,0,0,0,1,0,0,5,5,40.535,-74.4203,31,0
137,19,1400,0,949,2,2.0,1,1,1,0,0,0,5,0,35.7482,-119.257,4,0
138,169,925,0,820,2,1.0,1,1,0,0,0,1,5,1,31.078,-97.7145,43,1
139,51,800,6,1400,3,1.0,0,0,1,0,0,0,4,2,38.1722,-82.0628,49,1
140,268,900,0,840,2,1.0,1,1,1,0,0,0,5,2,33.6432,-112.065,3,1
141,35,1250,0,425,0,1.0,1,0,1,0,0,0,1,5,42.2745,-71.169,19,0
142,135,1200,0,500,1,1.0,0,0,0,0,0,1,1,6,40.8894,-76.7972,38,1
143,316,820,0,1115,3,2.0,1,1,1,0,0,0,5,5,42.5249,-96.5074,12,1
144,143,2200,6,1000,2,1.0,0,0,0,0,0,0,5,3,39.5943,-106.002,5,0
145,251,825,0,418,1,1.0,1,1,0,0,0,0,2,2,41.0698,-111.972,44,1
146,350,1825,0,761,1,1.0,1,1,1,1,1,0,5,0,37.7532,-121.482,4,0
147,102,1000,4,850,2,1.0,0,0,1,0,0,0,0,5,64.8521,-147.702,0,1
148,232,1600,6,1500,2,2.0,1,0,0,0,0,0,4,1,29.9729,-89.9444,18,0
149,387,1800,0,1200,2,2.0,0,0,0,0,0,0,1,1,42.3216,-72.6386,19,0
150,24,2495,6,3300,4,3.5,1,1,1,0,0,0,5,1,48.9624,-122.43,47,0
151,393,1090,0,755,1,1.0,1,1,1,0,0,0,2,5,39.155,-78.1823,45,1
152,56,1800,0,1500,3,1.5,0,1,1,0,0,0,5,5,41.9102,-87.697,14,0
153,185,995,0,792,1,1.0,1,0,0,0,0,0,5,2,36.0366,-115.109,33,1
154,144,1250,6,1300,3,2.0,0,0,1,0,0,0,4,6,32.4074,-80.7383,40,0
155,194,990,0,1105,3,2.0,1,1,1,0,0,0,4,0,41.4872,-112.025,44,1
156,363,785,0,704,1,1.0,1,1,0,0,0,0,4,2,32.3435,-111.021,3,1
157,280,664,0,800,2,1.0,0,0,0,0,0,0,1,3,41.4889,-90.55,14,1
158,234,1900,0,380,2,1.0,1,0,1,0,0,0,0,0,40.7559,-73.9123,34,0
159,202,1700,2,944,2,1.0,0,0,1,0,0,0,3,5,43.6501,-70.2648,21,0
160,339,1550,6,2204,3,2.5,1,1,1,0,0,0,0,1,47.6483,-117.529,13,0
161,154,1800,6,1185,3,2.0,0,0,0,0,0,0,4,1,34.1112,-117.17,4,0
162,285,1525,0,1067,2,2.0,1,1,0,0,0,0,5,2,39.6187,-119.671,4,0
163,105,425,6,1200,3,2.0,1,1,1,0,0,0,0,0,35.018,-78.9508,27,1
164,262,893,0,697,2,1.0,1,1,1,0,0,0,2,2,33.709,-116.243,4,1
165,166,1000,6,2000,1,1.0,0,0,1,0,0,0,5,1,60.4842,-151.096,0,1
166,201,925,0,660,1,1.0,1,0,1,0,0,0,1,6,43.0711,-89.3851,48,1
167,253,650,0,790,2,1.0,0,0,1,0,0,0,2,5,35.4054,-97.5164,36,1
168,3,1310,0,1034,2,2.0,0,0,1,0,0,0,1,5,42.6364,-73.7353,34,0
169,59,630,0,600,2,1.0,1,0,1,0,0,0,1,6,39.1134,-84.5771,35,1
170,50,1650,6,1900,5,2.0,1,1,0,0,0,0,5,5,40.1101,-88.2501,14,0
171,230,975,0,330,0,1.0,1,1,0,0,0,0,2,5,43.1604,-71.4179,30,1
172,0,1185,6,2396,5,2.0,1,1,1,0,0,0,0,0,37.7179,-122.464,4,1
173,106,800,0,1024,1,1.0,0,0,1,0,0,0,5,5,42.9094,-76.7925,34,1
174,270,1200,11,1000,2,1.0,0,0,1,0,0,0,0,0,40.4609,-79.9537,38,1
175,396,667,0,1016,2,2.0,1,1,0,0,0,0,5,5,42.8423,-106.296,50,1
176,139,1800,0,800,2,1.0,1,1,1,1,0,1,5,0,21.3034,-157.784,11,0
177,113,605,11,871,2,1.0,0,0,1,0,0,0,4,5,42.4536,-93.8161,12,1
178,51,935,0,790,1,1.0,1,1,1,0,0,0,4,5,32.9821,-80.1736,40,1
179,181,1200,0,2400,2,1.5,1,0,1,0,0,0,5,5,40.0301,-76.5003,38,1
180,51,1185,0,938,2,1.0,1,1,1,0,0,0,4,5,32.7569,-79.9753,40,1
181,385,650,6,850,3,1.0,1,1,1,0,0,0,4,2,36.5694,-88.8084,17,1
182,232,975,4,1000,3,1.0,1,0,0,0,0,0,4,0,29.9382,-90.116,18,1
183,50,1175,0,649,1,1.0,0,0,0,0,0,0,5,5,40.0858,-88.3079,14,1
184,375,485,0,500,1,1.0,0,1,0,0,0,0,0,0,29.29,-97.1574,43,1
185,216,1500,6,1640,2,2.0,0,0,0,0,0,0,5,3,44.957,-93.1252,23,0
186,50,1400,0,955,2,1.0,0,0,0,0,0,1,5,5,40.1102,-88.2435,14,0
187,302,599,0,846,2,2.0,1,1,0,0,0,0,5,5,29.8929,-97.9363,43,1
188,308,1350,0,1450,4,2.0,0,0,0,0,0,0,0,0,31.9965,-81.142,10,0
189,44,2500,6,1568,3,2.5,0,1,0,0,0,1,5,5,41.6179,-70.4555,19,0
190,373,1650,0,700,2,1.0,0,0,0,0,0,0,3,2,34.156,-119.181,4,0
191,197,949,11,1000,2,1.5,1,1,1,0,0,0,4,5,38.1702,-85.6027,17,1
192,304,2175,0,612,1,1.0,1,0,0,0,0,0,2,5,34.4389,-119.808,4,0
193,215,1746,0,1101,2,2.0,1,1,0,1,0,0,5,1,43.0222,-88.1154,48,0
194,280,650,6,866,3,1.0,1,1,0,0,0,0,4,3,40.8638,-90.7457,14,1
195,308,1320,0,732,1,1.0,1,1,0,0,0,0,5,5,32.0691,-81.0496,10,0
196,399,950,6,1080,2,1.0,0,0,1,0,0,0,4,5,41.0028,-80.8091,35,1
197,96,650,0,600,2,1.0,1,1,1,0,0,0,2,0,31.7556,-106.396,43,1
198,8,1350,0,1100,2,1.0,0,0,0,0,0,0,5,1,61.1313,-149.846,0,0
199,57,500,0,280,0,1.0,0,0,0,0,0,0,3,5,39.6417,-121.8,4,1
200,100,1500,6,1410,3,2.0,1,1,1,1,0,0,5,1,44.035,-123.118,37,0
201,167,1500,0,500,2,1.0,1,1,0,1,0,1,1,0,46.2123,-119.197,47,0
202,35,1900,0,1070,3,1.0,0,0,0,0,0,0,1,2,42.0926,-71.0378,19,0
203,7,1275,6,1800,3,2.0,1,1,0,0,0,0,5,3,42.0227,-93.4494,12,0
204,122,492,6,1222,3,2.0,1,1,1,0,0,0,0,0,29.6451,-82.4177,9,1
205,69,0,11,1600,3,2.5,0,0,1,0,0,1,5,1,27.6035,-97.2125,43,1
206,33,1815,0,845,2,2.0,1,1,0,0,0,0,1,1,43.6173,-116.202,13,0
207,51,1200,6,2000,3,3.0,0,0,0,0,0,0,1,1,38.324,-81.7135,49,1
208,238,1875,0,1500,3,2.0,0,0,0,0,0,0,4,5,40.6169,-74.2569,31,0
209,29,1250,6,1236,3,2.0,0,0,1,0,0,0,0,0,33.7754,-86.4837,1,0
210,274,1228,0,890,2,1.0,1,1,0,0,0,0,5,0,45.7059,-122.541,37,0
211,320,900,6,2500,4,1.5,0,0,0,0,0,1,5,5,41.6774,-86.2453,15,1
212,9,2200,5,900,1,1.0,1,0,1,0,0,1,5,5,42.2797,-83.7541,22,0
213,323,1950,0,700,1,1.0,0,0,1,0,0,1,5,0,25.7677,-80.1319,9,0
214,227,899,0,950,2,1.0,1,1,1,0,0,0,5,5,43.0889,-86.2413,22,1
215,52,1155,0,1331,3,2.0,1,1,1,0,0,0,4,5,35.5938,-80.8445,27,1
216,302,1075,2,35,2,2.0,1,1,0,0,0,0,5,5,29.8879,-97.9222,43,1
217,163,780,0,837,1,1.0,1,1,1,0,0,0,5,2,42.2578,-85.1937,22,1
218,193,950,6,1000,2,1.0,0,1,1,0,0,0,5,3,34.7259,-92.2806,2,1
219,33,895,0,840,2,1.0,1,1,0,0,0,0,2,5,43.6146,-116.387,13,1
220,100,1050,0,644,1,1.0,0,0,1,0,0,0,5,2,44.0863,-123.168,37,1
221,122,700,0,400,1,1.0,0,0,0,0,0,1,2,5,29.9109,-82.1896,9,1
222,135,950,2,1965,3,2.5,1,1,1,0,0,0,0,0,40.0076,-76.5307,38,1
223,281,1450,0,1431,3,2.0,1,1,0,0,0,0,0,5,35.658,-78.4764,27,0
224,198,699,0,665,1,1.0,1,1,0,0,0,0,2,0,33.5857,-101.924,43,1
225,182,763,0,954,2,2.0,1,1,0,0,0,1,5,5,42.7695,-84.4836,22,1
226,61,1395,6,1309,2,2.0,1,1,1,0,0,0,4,3,41.4793,-81.7224,35,0
227,231,2500,5,1175,3,2.0,0,1,0,0,0,0,1,5,41.3205,-72.9184,6,0
228,99,850,11,1186,3,1.0,0,0,0,0,0,0,2,5,42.1548,-80.0179,38,1
229,394,939,6,1679,3,2.5,1,1,1,0,0,0,4,1,36.0445,-80.2009,27,1
230,81,834,0,850,2,2.0,1,1,0,0,0,0,5,5,41.6789,-93.7786,12,1
231,274,1500,6,1700,3,1.5,0,1,1,0,0,0,4,1,44.7492,-122.482,37,0
232,208,1100,2,1457,3,2.0,0,1,0,0,0,0,1,1,26.2134,-98.2152,43,1
233,245,1295,0,800,1,1.0,0,0,1,0,0,0,1,5,41.4011,-73.4937,6,0
234,70,1600,0,1204,3,2.0,1,1,0,0,0,0,4,5,44.6444,-123.043,37,0
235,56,1925,0,794,1,1.0,1,1,0,1,0,0,5,1,41.8671,-87.6273,14,0
236,192,425,0,600,0,1.0,1,0,1,0,0,0,2,6,40.8073,-96.7039,29,1
237,56,1100,0,700,1,1.0,1,1,0,0,0,0,1,6,42.0259,-87.6845,14,1
238,246,1250,0,776,1,1.0,1,1,1,0,0,0,5,5,34.0782,-84.2281,10,0
239,339,1395,0,1290,3,2.0,1,1,1,0,0,0,5,5,47.6517,-117.084,13,0
240,392,1195,0,900,2,2.0,1,1,1,0,0,0,5,5,34.2283,-77.941,27,1
241,193,798,0,894,2,2.0,1,1,1,0,0,0,4,0,34.7963,-92.4068,2,1
242,79,1315,0,779,1,1.0,0,0,1,0,0,0,0,0,39.742,-75.5501,8,0
243,346,1175,0,1072,3,2.5,1,1,1,0,0,0,5,5,38.8017,-90.7373,14,1
244,230,2005,0,1140,2,2.0,0,0,0,1,0,0,5,1,43.0327,-71.4839,30,0
245,15,2250,6,1480,3,2.0,0,0,0,0,0,0,4,5,33.7521,-84.3304,10,0
246,12,88,3,500,1,0.0,1,1,1,0,0,1,3,0,35.7748,-82.4567,27,1
247,12,1200,6,975,2,1.5,0,0,0,0,0,1,5,5,33.9224,-78.2946,27,1
248,364,869,0,800,2,1.0,1,1,0,0,0,0,4,2,36.1276,-95.9377,36,1
249,285,1045,0,650,1,1.0,1,1,1,0,0,0,0,0,39.501,-119.786,4,1
250,70,900,0,735,1,1.0,1,1,0,0,0,0,5,2,44.6255,-123.077,37,1
251,293,1000,0,710,1,1.0,1,1,1,0,0,0,2,5,38.5955,-121.312,4,1
252,54,750,0,1400,4,2.0,1,1,1,0,0,0,4,0,35.1519,-84.8583,42,1
253,369,1025,0,850,2,1.5,1,1,1,0,0,0,5,2,32.2953,-95.2788,43,1
254,218,1255,0,1180,2,2.0,1,1,0,1,0,0,5,3,30.6067,-87.8697,1,0
255,289,1725,0,1041,2,2.0,1,1,0,1,1,0,5,1,43.1416,-77.5949,34,0
256,232,1800,0,800,1,1.5,0,0,0,0,0,1,0,0,29.9308,-90.075,18,0
257,151,1057,0,1208,2,2.0,1,1,1,0,0,0,4,5,34.6889,-86.5046,1,1
258,56,975,2,550,1,1.0,0,0,0,0,0,0,1,5,42.1228,-88.0383,14,1
259,109,1185,3,700,1,1.0,0,0,0,1,0,1,2,5,34.1973,-79.7661,40,1
260,389,675,0,950,2,1.0,0,0,1,0,0,0,0,0,37.6828,-97.303,16,1
261,389,525,0,700,1,1.0,1,1,1,0,0,0,1,5,37.6194,-97.3556,16,1
262,268,999,0,700,1,1.0,1,1,1,0,0,0,0,2,33.511,-111.994,3,1
263,238,1350,0,750,1,1.0,1,0,1,0,0,0,1,1,40.7602,-74.2276,31,0
264,302,1175,0,967,1,1.0,1,1,1,0,0,0,5,2,29.7069,-98.1147,43,1
265,4,550,0,850,2,2.0,1,1,1,0,0,0,3,5,34.8537,-106.615,32,1
266,339,800,0,530,1,1.0,1,1,0,0,0,0,1,2,47.6493,-117.431,13,1
267,126,990,11,1121,3,2.0,1,1,0,0,0,0,4,0,47.9319,-97.1069,28,1
268,369,700,0,350,0,1.0,0,0,0,0,0,0,3,0,32.8415,-95.6331,43,1
269,139,1600,4,600,1,1.0,0,0,0,0,0,1,5,5,22.0991,-159.331,11,0
270,36,1530,0,974,1,1.0,1,0,0,0,0,0,5,5,40.1512,-105.137,5,0
271,295,864,0,823,2,1.0,0,0,0,0,0,0,5,5,44.8454,-123.232,37,1
272,250,1984,0,1152,2,2.0,1,1,1,1,0,0,5,1,32.0361,-102.08,43,0
273,217,975,6,1069,3,2.0,0,0,0,0,0,0,5,3,46.2476,-114.152,26,1
274,4,650,0,634,1,1.0,1,1,0,0,0,0,1,2,35.0619,-106.583,32,1
275,121,1450,6,1734,3,2.0,1,1,1,0,0,0,5,1,30.2612,-87.7294,1,0
276,360,595,0,750,2,1.0,1,1,0,0,0,0,2,5,39.0275,-95.7021,16,1
277,232,1400,4,900,2,1.0,0,0,1,0,0,0,5,6,29.9975,-90.1142,18,0
278,201,1995,0,1077,2,2.0,1,1,0,0,0,0,5,1,43.0919,-89.3561,48,0
279,271,1600,0,1000,2,2.0,0,0,0,0,0,0,5,6,44.6979,-73.4537,34,0
280,201,835,0,700,1,1.0,1,0,0,0,0,0,2,5,43.0906,-89.4846,48,1
281,364,835,0,1050,2,2.0,1,1,0,1,0,1,4,5,36.0268,-95.9461,36,1
282,339,1600,6,1800,4,2.0,0,1,1,0,0,0,4,2,47.7196,-117.429,13,0
283,185,850,0,825,2,1.0,1,0,1,0,0,0,2,5,36.1246,-115.148,33,1
284,137,605,0,500,1,1.0,0,0,1,0,0,0,1,5,41.9304,-73.0589,6,1
285,154,1750,0,660,1,1.0,1,1,0,1,0,0,5,5,34.0551,-117.672,4,0
286,363,750,0,847,2,1.0,1,1,1,0,0,0,2,2,32.2174,-110.809,3,1
287,158,995,0,927,1,1.0,1,1,1,0,0,0,4,5,34.801,-77.4222,27,1
288,208,500,0,700,2,1.0,1,0,1,0,0,0,3,5,26.1246,-98.1811,43,1
289,200,325,0,300,1,1.0,0,0,1,0,0,1,1,5,32.7885,-83.6683,10,1
